iteration;temperature;cost;result
0;5500;6124.7484731372015;["Lille" "Paris" "Lyon" "Marseille" "Toulouse" "Besançon" "Rennes" "Limoges" "Ajaccio" "Caen" "Bordeaux" "Strasbourg" "Lille"]
1;5499.71;6479.882616099561;["Lille" "Paris" "Lyon" "Marseille" "Bordeaux" "Besançon" "Rennes" "Limoges" "Ajaccio" "Caen" "Toulouse" "Strasbourg" "Lille"]
2;5499.42;7218.600915504356;["Lille" "Lyon" "Paris" "Marseille" "Bordeaux" "Besançon" "Rennes" "Limoges" "Ajaccio" "Caen" "Toulouse" "Strasbourg" "Lille"]
3;5499.13;7358.255271970016;["Lille" "Lyon" "Paris" "Marseille" "Bordeaux" "Besançon" "Limoges" "Rennes" "Ajaccio" "Caen" "Toulouse" "Strasbourg" "Lille"]
4;5498.84;7061.925231134662;["Lille" "Lyon" "Paris" "Bordeaux" "Marseille" "Besançon" "Limoges" "Rennes" "Ajaccio" "Caen" "Toulouse" "Strasbourg" "Lille"]
5;5498.55;6727.332605051901;["Lille" "Lyon" "Paris" "Rennes" "Marseille" "Besançon" "Limoges" "Bordeaux" "Ajaccio" "Caen" "Toulouse" "Strasbourg" "Lille"]
6;5498.26;7111.304420254714;["Lille" "Lyon" "Paris" "Rennes" "Marseille" "Limoges" "Besançon" "Bordeaux" "Ajaccio" "Caen" "Toulouse" "Strasbourg" "Lille"]
7;5497.97;6663.965118967017;["Lille" "Besançon" "Paris" "Rennes" "Marseille" "Limoges" "Lyon" "Bordeaux" "Ajaccio" "Caen" "Toulouse" "Strasbourg" "Lille"]
8;5497.68;6254.534458020746;["Lille" "Besançon" "Paris" "Rennes" "Marseille" "Lyon" "Limoges" "Bordeaux" "Ajaccio" "Caen" "Toulouse" "Strasbourg" "Lille"]
9;5497.39;6254.534458020746;["Lille" "Besançon" "Paris" "Rennes" "Marseille" "Lyon" "Limoges" "Bordeaux" "Ajaccio" "Caen" "Toulouse" "Strasbourg" "Lille"]
10;5497.1;6600.672861085177;["Lille" "Besançon" "Paris" "Rennes" "Marseille" "Lyon" "Limoges" "Bordeaux" "Ajaccio" "Caen" "Strasbourg" "Toulouse" "Lille"]
11;5496.81;7131.626088142262;["Lille" "Besançon" "Limoges" "Rennes" "Marseille" "Lyon" "Paris" "Bordeaux" "Ajaccio" "Caen" "Strasbourg" "Toulouse" "Lille"]
12;5496.52;7453.414974721061;["Lille" "Besançon" "Limoges" "Rennes" "Marseille" "Paris" "Lyon" "Bordeaux" "Ajaccio" "Caen" "Strasbourg" "Toulouse" "Lille"]
13;5496.2300000000005;6765.472446882729;["Lille" "Toulouse" "Limoges" "Rennes" "Marseille" "Paris" "Lyon" "Bordeaux" "Ajaccio" "Caen" "Strasbourg" "Besançon" "Lille"]
14;5495.9400000000005;6443.68356030393;["Lille" "Toulouse" "Limoges" "Rennes" "Marseille" "Lyon" "Paris" "Bordeaux" "Ajaccio" "Caen" "Strasbourg" "Besançon" "Lille"]
15;5495.650000000001;6272.192180543173;["Lille" "Toulouse" "Limoges" "Rennes" "Marseille" "Lyon" "Paris" "Ajaccio" "Bordeaux" "Caen" "Strasbourg" "Besançon" "Lille"]
16;5495.360000000001;6687.407379496534;["Lille" "Toulouse" "Limoges" "Rennes" "Marseille" "Lyon" "Paris" "Ajaccio" "Caen" "Bordeaux" "Strasbourg" "Besançon" "Lille"]
17;5495.070000000001;7375.349907334867;["Lille" "Besançon" "Limoges" "Rennes" "Marseille" "Lyon" "Paris" "Ajaccio" "Caen" "Bordeaux" "Strasbourg" "Toulouse" "Lille"]
18;5494.780000000001;6443.755875944245;["Lille" "Besançon" "Limoges" "Rennes" "Marseille" "Lyon" "Paris" "Ajaccio" "Caen" "Bordeaux" "Toulouse" "Strasbourg" "Lille"]
19;5494.490000000001;6443.755875944245;["Lille" "Besançon" "Limoges" "Rennes" "Marseille" "Lyon" "Paris" "Ajaccio" "Caen" "Bordeaux" "Toulouse" "Strasbourg" "Lille"]
20;5494.200000000001;6821.111060495937;["Lille" "Besançon" "Limoges" "Marseille" "Rennes" "Lyon" "Paris" "Ajaccio" "Caen" "Bordeaux" "Toulouse" "Strasbourg" "Lille"]
